GEOID,NAME,variable,B08121_001_estimate,B08121_001_moe,Total_Worked_At_Home_estimate,Total_Worked_At_Home_021_moe,Total_Married_Couple_Family_estimate,Total_Married_Couple_Family_moe,Total_PopOneRace_White_estimate,Total_PopOneRace_White_moe
42101027000,"Census Tract 270, Philadelphia County, Pennsylvania",B08121_001,31626,3570,97,69,317,67,334,126
42101027100,"Census Tract 271, Philadelphia County, Pennsylvania",B08121_001,27620,4455,35,45,311,74,146,56
42101027200,"Census Tract 272, Philadelphia County, Pennsylvania",B08121_001,27600,5099,35,42,559,136,461,212
42101027300,"Census Tract 273, Philadelphia County, Pennsylvania",B08121_001,33470,4436,78,112,767,163,743,364
42101027401,"Census Tract 274.01, Philadelphia County, Pennsylvania",B08121_001,19546,6972,58,76,363,105,533,231
42101027402,"Census Tract 274.02, Philadelphia County, Pennsylvania",B08121_001,26672,2655,15,27,539,187,347,193
42101027500,"Census Tract 275, Philadelphia County, Pennsylvania",B08121_001,30545,5833,62,43,391,104,465,95
42101027600,"Census Tract 276, Philadelphia County, Pennsylvania",B08121_001,23800,3957,0,10,244,82,59,43
42101027700,"Census Tract 277, Philadelphia County, Pennsylvania",B08121_001,34658,7619,4,9,271,134,148,166
42101027800,"Census Tract 278, Philadelphia County, Pennsylvania",B08121_001,34198,7804,44,47,320,94,340,224
42101027901,"Census Tract 279.01, Philadelphia County, Pennsylvania",B08121_001,29479,5048,33,35,238,75,123,111
42101027902,"Census Tract 279.02, Philadelphia County, Pennsylvania",B08121_001,11667,2879,151,86,119,49,1662,301
42101028000,"Census Tract 280, Philadelphia County, Pennsylvania",B08121_001,27417,10007,25,39,331,83,31,35
42101028100,"Census Tract 281, Philadelphia County, Pennsylvania",B08121_001,26414,1056,48,70,400,119,370,314
42101028200,"Census Tract 282, Philadelphia County, Pennsylvania",B08121_001,26585,6385,43,54,275,122,392,206
42101028300,"Census Tract 283, Philadelphia County, Pennsylvania",B08121_001,28368,3967,16,29,300,113,178,223
42101028400,"Census Tract 284, Philadelphia County, Pennsylvania",B08121_001,27027,7479,40,32,349,105,487,337
42101028500,"Census Tract 285, Philadelphia County, Pennsylvania",B08121_001,26063,9238,2,4,151,53,544,298
42101028600,"Census Tract 286, Philadelphia County, Pennsylvania",B08121_001,30616,4893,0,14,608,157,884,362
42101028700,"Census Tract 287, Philadelphia County, Pennsylvania",B08121_001,20710,3334,8,11,157,50,635,260
42101028800,"Census Tract 288, Philadelphia County, Pennsylvania",B08121_001,26997,3729,57,54,329,97,1087,372
42101028901,"Census Tract 289.01, Philadelphia County, Pennsylvania",B08121_001,23250,5689,7,12,307,98,1050,382
42101028902,"Census Tract 289.02, Philadelphia County, Pennsylvania",B08121_001,24288,4106,0,14,450,141,1327,414
42101029000,"Census Tract 290, Philadelphia County, Pennsylvania",B08121_001,22454,4110,38,44,765,228,1459,764
42101029100,"Census Tract 291, Philadelphia County, Pennsylvania",B08121_001,23333,4400,37,34,516,92,618,209
42101029200,"Census Tract 292, Philadelphia County, Pennsylvania",B08121_001,26851,6182,0,10,498,96,925,269
42101029300,"Census Tract 293, Philadelphia County, Pennsylvania",B08121_001,21404,6455,25,37,181,76,839,245
42101029400,"Census Tract 294, Philadelphia County, Pennsylvania",B08121_001,15777,8592,0,10,211,97,903,351
42101029800,"Census Tract 298, Philadelphia County, Pennsylvania",B08121_001,26658,2691,80,51,448,89,2176,335
42101029900,"Census Tract 299, Philadelphia County, Pennsylvania",B08121_001,17448,5932,9,15,123,60,1570,355
42101030000,"Census Tract 300, Philadelphia County, Pennsylvania",B08121_001,27479,5683,50,73,395,140,1527,575
42101030100,"Census Tract 301, Philadelphia County, Pennsylvania",B08121_001,26951,3396,66,63,386,128,1783,515
42101030200,"Census Tract 302, Philadelphia County, Pennsylvania",B08121_001,30865,4252,75,66,690,214,2175,782
42101030501,"Census Tract 305.01, Philadelphia County, Pennsylvania",B08121_001,20009,3727,96,80,543,154,1608,451
42101030502,"Census Tract 305.02, Philadelphia County, Pennsylvania",B08121_001,24634,5203,0,14,832,168,1147,310
42101030600,"Census Tract 306, Philadelphia County, Pennsylvania",B08121_001,33533,3393,132,182,1008,212,3587,587
42101030700,"Census Tract 307, Philadelphia County, Pennsylvania",B08121_001,28098,3663,10,15,433,87,2169,374
42101030800,"Census Tract 308, Philadelphia County, Pennsylvania",B08121_001,29929,6520,28,33,831,154,2492,403
